"State","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984"
"Michigan",79460,76960,68990,64490,64390,64120,60450,57700,57090,54200,52010,48800,50020,48880,46280,45990,49790,49370,48650,45930,42260,45020,42720,45050,45510,46090,41820,38740,39230,36430,35280,32660,32270,32120,29940,30780,29470,27700,26610,24240,22970
"Minnesota",92350,90340,90390,80440,78750,81430,71820,71920,70220,68730,67240,60910,61800,57820,52320,56090,54930,58060,56210,54220,56100,52820,54620,52680,54250,47040,47930,42560,40990,37930,33640,33680,30980,29480,31470,30190,29090,28080,26440,23860,24440
"Mississippi",55980,55060,48610,46640,45130,44790,42780,43440,41100,40040,35520,40850,36640,41090,38160,35080,36450,37280,34730,32880,34760,32730,30880,30160,34300,32480,29120,28500,26680,26540,25400,22190,20570,19480,20180,19920,18170,18510,16510,16410,15430
"Missouri",78390,78290,71520,63590,62180,60600,61730,56890,55020,59200,56630,50310,49760,45770,45820,48770,46040,46010,44580,42990,42140,43760,42780,41340,45100,41380,40200,36550,34270,34830,30190,28680,27360,27930,27330,26500,23440,23720,21930,21940,20780
"Montana",81920,79220,72970,65000,56740,60190,57680,59090,57080,51400,51100,44130,45090,40280,41280,40440,42900,43660,41110,37310,33960,34110,34840,32130,32780,31040,31580,29210,28680,27760,27630,26470,26530,24830,23380,23690,22230,20470,20330,20240,19540
"Nebraska",86140,89190,78360,78110,72250,73070,67580,59620,59370,60470,56870,53770,52200,55620,52500,49600,50730,49170,48150,47920,43790,43970,42800,43610,41750,38630,36410,34690,34010,32930,31790,31010,30050,29550,27480,26320,25160,23270,21770,21800,21400
"Nevada",80590,81310,72330,64340,61160,70910,61860,56550,55430,52010,49880,45370,47330,47040,51200,51430,54740,54060,52280,48210,47200,45180,44960,45400,45760,41460,39760,38850,38540,36080,35870,35810,31910,32940,32020,29340,27980,26880,26220,23270,25780
"New Hampshire",111800,98780,84970,88840,88890,86900,81350,74800,76260,75680,73400,71320,67820,65880,66630,64130,66180,67580,61970,56980,56820,55570,55320,51330,50930,46060,44960,41000,39410,39170,35250,37960,39440,36030,40810,37530,34630,32340,30550,26400,25910
"New Jersey",103500,91590,92340,88560,85550,87730,74180,73000,68470,68360,65240,61780,66690,62340,62970,64780,65310,60510,68060,63370,55280,56050,54570,51770,50410,49730,49830,48020,47470,43920,42280,40500,39000,40050,38730,39120,36290,34240,31720,30980,27780
"New Mexico",64140,60980,56420,53460,50910,53110,48280,47860,48450,45120,46690,42130,43420,41980,45130,43540,42100,44360,40030,38950,39560,35110,35460,33120,35090,32570,31540,30090,25090,25990,26910,26760,25860,26540,25040,22600,19300,20760,19850,20420,20630
"New York",86830,81600,75910,72920,68660,71850,67270,62450,61440,58010,54310,53840,47680,50640,49780,50220,50460,48940,48220,47180,44650,42790,41970,42110,40740,39990,37390,35800,35410,33030,31900,31700,31050,31790,31590,31500,28920,26380,25030,23640,22030
"North Carolina",67220,68610,65070,62890,60430,61160,53370,50340,53760,50800,46780,41210,41550,45210,43830,41910,42930,43510,39800,42060,40240,37280,36520,38160,38320,37250,35840,35840,35600,31980,30110,28820,27770,26850,26330,26410,24420,22760,21860,21450,20570
"North Dakota",88080,76960,78720,68880,64120,70030,66510,59890,60180,57420,60730,52890,55770,56360,51010,50080,49630,47210,41050,42190,39220,40410,36200,35790,36000,32660,30300,31660,31470,29090,28280,28120,26960,25890,25260,25230,24090,22580,21510,21210,20770
"Ohio",80520,73770,67520,62690,60380,64660,61630,59770,53990,53300,49640,46400,44380,44650,45890,45880,46930,49100,45900,44200,43060,43520,42680,41790,42960,39490,38930,36130,34070,34940,31860,31290,31400,29790,30010,29020,27740,25770,25120,25170,23120
"Oklahoma",65310,67330,63440,60100,52470,59400,54430,55010,50940,47080,47200,43780,48410,48460,43100,45880,46110,43220,38840,37650,39610,35900,36460,35610,32430,32680,33730,31350,27440,26310,26990,26260,25280,25460,24380,23670,23670,21690,20950,21210,21150
"Oregon",89700,88740,86780,81850,76850,74410,69170,64610,59140,60830,58880,56310,51780,51530,50600,49100,51730,50240,47090,44160,40990,41640,41800,41270,42500,40620,39070,37250,35490,36370,31460,33140,31930,30190,29280,28530,27750,25040,24770,21890,21400
"Pennsylvania",80060,79820,72210,72630,70790,70580,64520,63170,60980,60390,55170,53950,51900,49910,48310,48170,51400,48440,48480,46300,44110,42930,42500,43500,42180,37760,39020,37520,34900,34520,32070,31000,29880,30370,29010,28690,26740,25420,23810,22880,20350
"Rhode Island",92290,81860,80650,74980,80170,70150,62270,66390,61530,55700,58630,57810,56070,49030,51620,51630,53240,54210,53740,49480,47940,44710,42420,45720,42200,42720,40690,34800,36990,35360,31930,33510,30430,30840,31970,30120,29840,28290,26540,24630,21610
"South Carolina",76780,69100,61770,62540,60340,62030,57440,54970,54340,46360,44930,43750,44400,40080,41700,41100,42160,44210,39620,40230,38690,38480,37810,37740,37570,36460,33270,34260,34670,29070,29850,26050,27580,27460,28740,23800,25530,25050,21970,20040,20310
