State,2024,,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
Louisiana,"60,740","1,634","57,650","2,368","58,320","2,024","57,210","2,879","51,190","1,602","51,710","1,412","49,970","1,754","43,570","2,088","43,900","1,453","42,200","1,197","45,920","2,140","42,410","1,862","46,430","2,543","39,620","2,857","39,090","1,611","40,660","1,929","39,300","3,248","45,430","1,813","39,560","1,486","41,310",937,"36,490","1,425","37,240","1,297","36,430","1,243","33,510","1,103","34,010","1,258","33,320","1,195","30,720",828,"32,650","1,244","31,740","1,660","33,260","1,551","30,260","1,290","27,950","1,090","25,680","1,501","26,310","1,164","25,440","1,142","25,300","1,156","22,410","1,580","22,860","1,857","20,500","1,474","21,350",858,"20,890",956,"21,180",728,"18,950",880
Maine,"90,730","4,232","75,740","4,165","75,160","3,545","71,140","3,092","63,690","3,437","66,550","5,002","58,660","5,683","53,320","3,121","51,660","2,146","50,860","3,346","50,760","1,929","51,710","2,171","54,960","3,863","50,120","1,953","49,160","2,247","49,690","1,983","47,930","1,687","47,500","1,739","47,230","1,436","47,890","1,398","45,640","1,797","43,920","1,433","41,330","1,223","37,110",945,"36,850",846,"36,610",952,"37,270",853,"38,860","1,319","35,640","1,049","32,770","1,301","34,700","1,211","33,860","1,088","30,320","1,537","27,440","1,203","29,620","1,026","27,870","1,253","27,460","1,572","28,220","1,389","26,400",942,"23,600","1,019","23,420",970,"20,520",803,"20,650",884
Maryland,"109,700","4,688","102,000","5,939","108,200","5,355","97,330","4,492","94,790","4,236","95,570","3,284","86,220","3,331","82,090","3,643","81,080","3,652","73,760","2,591","73,590","2,692","76,170","4,272","69,350","2,970","65,260","4,386","71,840","1,851","68,880","2,125","64,200","2,297","64,190","1,674","63,710","1,769","65,630","1,661","63,670","1,601","60,510","1,477","57,100","1,692","52,310","1,223","56,410","1,532","53,530","1,652","54,540","1,400","52,210","2,217","50,020","2,161","46,690","1,476","43,990","2,565","41,040","1,627","39,200","1,400","39,940","1,282","37,200","1,626","36,950","1,417","38,860","1,596","36,020","1,187","36,550","1,196","34,970","1,388","30,600","1,036","30,140",966,"29,710","1,151"
Massachusetts,"113,900","5,829","106,500","3,118","93,550","3,280","86,570","4,099","87,810","6,327","87,710","2,828","86,350","2,785","76,240","2,394","73,230","3,328","72,270","2,911","67,860","2,790","63,150","2,662","62,530","5,303","62,960","3,456","63,660","3,773","63,310","3,226","60,930","2,193","59,370","1,749","60,320","1,674","58,460","2,231","55,330","2,079","56,020","1,754","52,020","1,667","50,960",953,"49,860","1,153","52,250","1,518","46,750","1,357","44,010","2,023","42,350","1,961","42,020","1,383","39,490","1,932","38,570","1,475","40,500","1,060","37,060",949,"36,360",738,"35,710",790,"36,250",828,"36,090",704,"33,210",839,"32,240",716,"30,340",735,"28,210",810,"26,960",693
Michigan,"79,460","2,688","76,960","2,965","68,990","2,794","64,490","3,819","64,390","3,191","64,120","1,680","60,450","1,906","56,410","2,286","57,700","2,337","57,090","1,908","54,200","2,005","52,010","1,199","56,570","1,587","48,800","2,229","50,020","1,515","48,880","1,844","46,280","1,737","45,990","1,003","49,790","1,154","49,370",798,"48,650",966,"45,930",915,"42,260",858,"45,020",950,"42,720","1,115","45,050",868,"45,510","1,095","46,090","1,026","41,820",917,"38,740","1,108","39,230","1,143","36,430",994,"35,280",685,"32,660",682,"32,270",761,"32,120",689,"29,940",663,"30,780",790,"29,470",607,"27,700",724,"26,610",648,"24,240",838,"22,970",635
Minnesota,"92,350","2,000","90,340","3,160","90,390","4,307","80,440","5,050","78,750","3,393","81,430","2,988","71,820","3,656","69,980","4,649","71,920","2,991","70,220","4,045","68,730","3,063","67,240","3,207","64,320","3,992","60,910","1,843","61,800","1,339","57,820","2,380","52,320","1,606","56,090","1,237","54,930","1,427","58,060","1,888","56,210","1,218","54,220","1,244","56,100","1,070","52,820","1,228","54,620","1,196","52,680","1,134","54,250","1,703","47,040","1,527","47,930","2,115","42,560","1,510","40,990","1,225","37,930","1,848","33,640","1,360","33,680","1,212","30,980","1,297","29,480","1,146","31,470","1,028","30,190","1,278","29,090","1,041","28,080","1,113","26,440","1,150","23,860","1,022","24,440",914
Mississippi,"55,980","1,216","55,060","2,393","48,610","2,427","46,640","1,805","45,130","2,623","44,790","2,997","42,780","2,304","43,280","1,795","43,440","2,204","41,100","1,226","40,040","1,071","35,520","1,294","32,340","2,730","40,850","2,144","36,640","1,546","41,090","2,366","38,160","2,830","35,080","1,304","36,450",830,"37,280",951,"34,730","1,583","32,880","1,292","34,760","1,132","32,730","1,113","30,880",766,"30,160","1,186","34,300","1,354","32,480","1,408","29,120","1,158","28,500","1,386","26,680","1,316","26,540","1,028","25,400",752,"22,190","1,229","20,570","1,074","19,480","1,053","20,180",802,"19,920",947,"18,170",888,"18,510",901,"16,510",639,"16,410",619,"15,430",732
Missouri,"78,390","3,365","78,290","3,669","71,520","4,037","63,590","2,710","62,180","2,715","60,600","2,932","61,730","2,442","56,530","2,333","56,890","2,611","55,020","1,719","59,200","2,607","56,630","3,030","46,300","4,134","50,310","3,698","49,760","2,042","45,770","2,157","45,820","2,157","48,770","1,595","46,040","1,146","46,010","1,104","44,580","1,402","42,990",989,"42,140","1,073","43,760",875,"42,780","1,074","41,340","1,204","45,100","1,187","41,380","1,191","40,200","1,868","36,550","2,060","34,270","1,513","34,830","1,373","30,190","1,442","28,680","1,466","27,360","1,451","27,930","1,415","27,330","1,394","26,500",746,"23,440","1,088","23,720","1,167","21,930",772,"21,940",608,"20,780",715
Montana,"81,920","4,356","79,220","4,070","72,970","2,878","65,000","5,000","56,740","2,497","60,190","2,294","57,680","2,876","57,410","2,223","59,090","2,589","57,080","2,880","51,400","2,937","51,100","1,778","43,200","5,946","44,130","3,252","45,090","2,565","40,280","2,036","41,280","1,847","40,440","1,002","42,900","1,764","43,660","1,699","41,110",697,"37,310","1,161","33,960",709,"34,110","1,067","34,840","1,212","32,130",737,"32,780","1,001","31,040",966,"31,580","1,133","29,210","1,145","28,680","1,566","27,760","1,105","27,630","1,246","26,470",965,"26,530",728,"24,830",890,"23,380",983,"23,690","1,311","22,230",829,"20,470",799,"20,330",749,"20,240",800,"19,540",720
Nebraska,"86,140","3,626","89,190","4,239","78,360","3,148","78,110","3,963","72,250","2,453","73,070","3,259","67,580","3,933","59,580","2,790","59,620","2,848","59,370","2,678","60,470","2,937","56,870","2,254","57,620","4,217","53,770","1,815","52,200","2,699","55,620","2,693","52,500","1,761","49,600","1,657","50,730","1,254","49,170","1,379","48,150","1,490","47,920","1,447","43,790","1,332","43,970","1,306","42,800","1,038","43,610","1,116","41,750","1,018","38,630","1,366","36,410","1,549","34,690","1,528","34,010","1,500","32,930","1,155","31,790","1,116","31,010",833,"30,050","1,071","29,550","1,007","27,480","1,128","26,320","1,521","25,160",960,"23,270",761,"21,770",814,"21,800",914,"21,400",765
