GEOID,state,medinc_totalE,medinc_totalM,medinc_15_24E,medinc_15_24M,medinc_25_44E,medinc_25_44M,medinc_45_64E,medinc_45_64M,medinc_65_plusE,medinc_65_plusM,year,med_rentE,med_rentM,annual_rent,rtb_15_24,rtb_25_44,burden_cat_young,burden_cat_established,affordability_gap
06,California,61818,156,29406,445,64784,325,74230,332,45103,190,2015,1255,2,15060,51.214037951438485,23.24648061249691,Severely Burdened (>50%),Affordable (<30%),27.967557338941575
08,Colorado,60629,252,28819,805,64809,531,73492,541,44046,437,2015,1002,5,12024,41.722474756237204,18.55297875295098,Burdened (30-50%),Affordable (<30%),23.169496003286223
10,Delaware,60509,595,32040,1712,65343,1146,71964,1259,44924,806,2015,1018,11,12216,38.12734082397004,18.695193058169966,Burdened (30-50%),Affordable (<30%),19.43214776580007
11,District of Columbia,70848,843,30822,3232,84667,1727,71544,1775,47763,1657,2015,1327,17,15924,51.66439556161183,18.80779996929146,Severely Burdened (>50%),Affordable (<30%),32.856595592320375
09,Connecticut,70331,409,30327,1451,73439,1025,88279,837,45613,543,2015,1075,6,12900,42.53635374418835,17.565598660112475,Burdened (30-50%),Affordable (<30%),24.970755084075872
12,Florida,47507,202,25292,387,50817,257,55981,344,38168,206,2015,1002,3,12024,47.540724339712156,23.661373162524352,Burdened (30-50%),Affordable (<30%),23.879351177187804
13,Georgia,49620,245,23542,595,51779,316,59082,451,37223,321,2015,879,3,10548,44.805029309319515,20.371192954672743,Burdened (30-50%),Affordable (<30%),24.433836354646772
16,Idaho,47583,494,25191,1005,51623,604,57801,1069,36021,600,2015,743,6,8916,35.39359294986305,17.271371287991784,Burdened (30-50%),Affordable (<30%),18.122221661871265
15,Hawaii,69515,725,38129,3011,70065,1086,80710,995,58462,1112,2015,1438,16,17256,45.256891080280106,24.628559195033183,Burdened (30-50%),Affordable (<30%),20.628331885246922
17,Illinois,57574,247,24913,598,62573,449,70763,325,39010,262,2015,907,3,10884,43.68803435957131,17.394083710226454,Burdened (30-50%),Affordable (<30%),26.293950649344858
18,Indiana,49255,221,23865,630,53403,491,59949,429,36339,253,2015,745,3,8940,37.46071653048397,16.740632548733217,Burdened (30-50%),Affordable (<30%),20.720083981750754
19,Iowa,53183,313,26513,622,60591,506,65595,430,36946,373,2015,697,4,8364,31.54678836797043,13.804030301529929,Burdened (30-50%),Affordable (<30%),17.7427580664405
20,Kansas,52205,232,26074,589,56845,566,65203,589,38359,474,2015,757,5,9084,34.839303520748636,15.980297299674554,Burdened (30-50%),Affordable (<30%),18.859006221074083
21,Kentucky,43740,302,23213,751,50343,441,51615,451,32538,356,2015,675,3,8100,34.89424029638565,16.089625171324712,Burdened (30-50%),Affordable (<30%),18.804615125060934
22,Louisiana,45047,315,21958,612,51010,483,53485,553,32024,295,2015,788,4,9456,43.06403133254395,18.537541658498334,Burdened (30-50%),Affordable (<30%),24.526489674045614
23,Maine,49331,512,27980,1648,54649,1071,58819,916,35052,574,2015,777,6,9324,33.32380271622588,17.061611374407583,Burdened (30-50%),Affordable (<30%),16.262191341818294
24,Maryland,74551,370,33371,1435,77006,656,90541,493,51162,485,2015,1230,5,14760,44.23002007731264,19.16733761005636,Burdened (30-50%),Affordable (<30%),25.062682467256277
25,Massachusetts,68563,384,30927,902,77341,715,84898,644,40573,386,2015,1102,4,13224,42.75875448637113,17.098304909427085,Burdened (30-50%),Affordable (<30%),25.660449576944046
26,Michigan,49576,186,22455,455,53669,451,60516,278,37528,204,2015,783,3,9396,41.8436873747495,17.50731334662468,Burdened (30-50%),Affordable (<30%),24.33637402812482
